3926
3 105 381 436
3 289 467 79
3 406 58 349
3 264 41 183
3 157 6 271
3 237 358 91
3 317 93 110
3 461 36 372
3 197 226 25
3 232 325 239
3 92 45 163
3 336 340 332
3 464 210 349
3 194 51 116
3 494 266 220
3 69 13 133
3 496 414 136
3 6 36 23
3 242 355 327
3 289 469 345
3 136 200 19
3 97 408 130
3 77 321 16
2 214 138
3 161 227 378
4 122 346 331 73
4 189 353 276 20
4 265 490 345 271
4 227 203 388 347
4 59 269 243 173
4 123 332 152 170
4 401 201 425 339
4 276 59 468 500
4 76 5 138 198
4 99 434 435 145
4 43 331 2 199
4 206 74 8 167
4 384 465 103 486
4 254 230 495 438
4 469 352 413 157
3 10 324 335
4 59 340 217 421
4 259 117 31 181
4 289 383 476 236
4 323 496 420 444
4 58 319 366 134
4 198 177 96 174
4 273 139 372 117
4 490 339 417 138
4 92 346 222 46
4 122 439 497 343
4 292 492 250 481
4 266 364 106 468
4 109 295 86 377
4 353 239 312 414
4 148 183 448 165
4 278 269 263 437
4 267 168 51 150
4 353 12 38 13
4 108 261 292 153
4 459 330 8 208
4 498 414 365 169
4 468 35 455 399
4 200 498 452 388
4 249 44 477 322
4 436 117 62 366
4 106 324 58 310
4 459 194 453 411
4 444 481 155 209
4 163 81 241 484
4 238 450 134 9
4 500 26 90 95
4 286 454 433 311
4 267 323 496 310
4 157 467 403 196
4 467 74 283 111
4 346 387 99 448
4 487 277 128 485
4 264 154 269 487
4 417 229 157 158
4 404 65 252 433
3 98 77 51
4 96 299 433 168
4 38 226 437 29
4 367 369 309 70
4 76 200 392 36
4 171 366 484 164
4 482 21 315 66
4 289 253 241 227
4 133 59 225 62
4 5 35 271 367
4 77 494 226 308
4 401 361 59 116
4 304 61 407 185
4 308 7 392 251
4 98 354 84 336
4 48 255 224 150
4 20 90 227 136
4 228 433 279 4
4 136 98 239 212
4 227 361 206 244
4 329 210 107 79
4 125 96 353 36
4 201 114 177 467
4 203 426 372 464
4 355 216 274 169
4 52 158 448 107
4 9 389 77 358
4 132 453 249 420
4 390 28 297 104
4 358 322 18 140
4 76 51 81 268
4 258 413 122 323
4 217 3 389 281
4 461 409 454 49
4 371 432 164 404
4 174 431 195 157
4 140 63 222 391
4 91 253 334 230
3 296 281 181
4 408 388 168 199
4 252 310 65 329
4 332 238 255 386
4 358 460 345 85
4 314 98 45 135
4 160 488 343 92
4 284 404 9 15
4 410 96 148 469
4 65 298 316 332
4 238 287 376 339
4 333 415 152 433
4 272 26 429 475
4 177 348 324 402
4 99 358 79 396
4 22 67 273 371
4 64 464 13 216
4 428 110 112 257
4 191 194 286 18
4 262 71 127 322
4 308 182 28 428
4 300 131 198 372
4 242 197 389 434
4 430 240 445 499
4 80 269 209 226
4 129 259 171 498
4 140 237 338 485
4 330 433 232 450
3 399 97 480
4 291 176 323 50
4 126 257 159 233
4 183 269 256 316
4 454 228 298 11
4 102 390 101 445
4 443 143 153 20
4 245 335 361 214
4 474 37 402 119
4 318 395 357 16
4 399 479 469 311
4 211 84 287 63
4 457 267 272 149
4 431 95 379 140
4 412 455 350 298
4 290 190 228 27
4 397 40 22 52
4 404 87 121 373
4 312 451 370 276
4 334 499 122 77
4 285 287 443 479
4 428 155 233 319
4 188 77 224 495
4 205 41 66 85
4 326 176 334 362
4 346 173 347 28
4 298 8 475 326
4 186 147 248 171
4 200 163 290 166
4 480 466 160 42
4 358 129 312 64
4 492 178 406 10
4 119 466 342 499
4 206 122 345 83
4 210 22 333 406
4 348 104 423 376
4 274 493 112 219
4 415 455 207 387
4 240 339 494 347
4 264 402 275 269
4 205 79 265 82
4 375 490 472 118
4 288 313 59 244
4 437 24 342 476
4 231 301 116 333
4 11 438 110 464
4 265 274 151 338
4 385 125 448 386
4 163 462 279 62
4 208 222 127 95
4 232 463 375 283
4 326 277 59 374
4 215 229 408 203
4 306 319 205 45
4 103 388 243 322
4 25 349 401 360
4 198 102 61 8
4 393 57 475 60
4 255 383 222 292
4 220 451 250 221
4 357 42 218 279
4 50 183 11 122
4 330 379 466 54
4 498 113 102 151
4 441 495 118 344
4 352 164 303 288
4 318 54 375 90
4 152 8 1 478
4 366 52 491 330
4 395 309 495 251
4 243 77 431 50
4 275 492 449 27
4 217 406 283 280
4 294 382 152 83
4 384 355 385 319
4 442 20 156 402
4 278 100 383 122
4 394 175 424 105
4 200 205 211 142
4 388 119 143 35
4 124 284 95 270
4 462 21 411 304
4 95 481 442 398
4 258 393 169 272
4 84 313 162 382
4 355 53 287 354
4 259 141 240 306
4 97 344 211 17
4 277 29 254 373
4 333 500 338 276
4 427 149 247 418
4 285 161 376 9
4 52 417 413 145
4 128 261 256 182
4 273 434 4 156
4 198 102 244 334
4 422 164 181 64
4 331 277 71 199
4 379 140 29 447
4 133 43 146 291
4 336 142 72 242
4 148 82 421 280
4 257 5 110 168
4 380 241 377 222
4 273 269 138 175
4 70 407 210 164
4 347 235 4 294
4 232 227 324 357
4 266 118 255 259
4 330 29 274 245
4 332 247 124 162
4 24 143 333 188
4 228 303 406 155
4 88 30 493 33
4 165 203 298 95
3 116 53 408
4 282 33 242 485
4 374 392 347 146
4 258 384 431 346
4 178 323 179 172
4 18 140 299 428
4 439 327 383 330
4 420 340 401 169
4 191 444 59 260
4 201 465 254 51
4 483 299 148 288
2 82 355
4 50 120 319 128
4 180 48 312 484
4 464 41 244 306
4 323 216 110 39
4 273 80 16 42
4 221 457 364 115
4 196 128 125 497
4 36 98 497 345
4 68 129 226 219
4 447 116 119 364
4 301 346 500 150
4 232 468 119 251
4 224 289 118 84
4 148 320 436 267
4 399 448 279 48
4 413 408 166 256
4 253 212 329 117
4 346 493 266 22
4 248 61 464 403
4 362 283 151 347
4 123 75 169 402
4 464 216 118 75
4 386 148 446 143
4 99 162 136 129
4 283 244 255 48
4 105 409 96 94
4 391 193 304 123
4 12 127 482 277
4 382 108 65 74
4 218 240 468 62
4 339 201 135 418
4 128 198 66 266
4 4 382 12 275
4 29 483 462 145
4 264 195 107 278
4 270 108 352 248
4 330 459 10 232
4 208 70 276 411
4 263 419 432 299
4 261 40 8 81
4 122 356 373 213
4 14 452 41 478
4 57 329 38 6
4 456 98 495 497
4 102 65 394 228
4 257 442 244 250
4 94 29 37 238
4 353 430 137 249
4 195 64 23 169
4 472 178 424 321
4 324 443 75 249
4 394 244 458 181
4 406 468 421 51
4 311 125 82 9
4 428 141 11 26
4 21 57 165 440
4 141 282 18 178
4 487 72 101 181
4 183 37 32 84
4 419 375 359 69
4 7 133 380 372
4 205 258 300 173
4 4 409 41 401
4 191 410 432 323
4 407 449 41 247
4 408 173 6 42
4 56 385 387 92
4 336 50 430 404
4 494 471 197 252
4 342 117 397 445
4 151 245 192 458
4 57 257 295 273
4 227 337 261 180
4 51 447 216 113
4 213 305 45 39
4 263 81 393 396
4 372 103 386 495
4 284 264 151 230
4 258 349 425 221
4 130 270 15 205
4 239 229 335 402
4 350 379 211 298
4 167 289 58 190
4 274 484 270 47
4 293 124 180 258
4 338 62 263 459
4 342 7 45 250
4 319 281 426 394
4 499 155 76 17
4 204 241 146 105
4 149 237 176 338
4 334 240 122 109
4 301 341 31 133
4 420 464 454 194
4 302 131 99 404
4 118 260 311 303
4 208 276 174 118
4 208 212 359 218
4 49 369 453 390
4 425 38 307 245
4 117 102 366 204
3 226 17 292
4 194 363 341 218
4 13 421 243 101
4 324 144 231 110
4 145 245 414 481
4 295 123 85 265
4 64 289 231 71
4 88 186 499 6
4 356 103 80 473
4 103 129 154 454
4 275 299 308 96
4 234 269 451 215
4 497 35 333 43
4 30 304 57 46
4 442 332 210 322
4 174 407 315 348
4 224 458 254 388
4 25 133 483 114
4 166 482 139 111
4 452 159 133 315
3 27 139 174
4 318 319 469 352
4 246 494 143 357
4 461 220 250 201
4 242 432 202 328
4 170 25 307 418
4 448 161 469 123
4 357 70 326 374
4 285 443 414 151
4 37 44 120 52
4 116 141 169 109
4 57 377 128 274
4 110 487 488 202
4 370 307 315 64
4 309 434 67 402
4 337 97 250 7
4 246 274 26 282
4 169 219 397 423
4 28 229 285 27
4 343 286 134 160
4 319 67 438 185
4 334 436 155 317
4 129 302 314 478
4 461 329 429 216
4 143 250 21 259
4 417 296 446 238
4 156 443 293 153
4 362 226 141 318
4 408 237 489 157
4 398 347 496 313
4 187 335 441 229
4 302 170 392 238
4 218 329 90 426
4 360 351 407 13
4 353 48 362 9
4 268 301 290 478
4 326 180 21 499
4 375 92 58 404
4 306 491 371 349
4 413 243 341 289
4 201 17 362 205
4 452 432 434 325
4 238 249 160 298
4 148 210 498 184
4 158 178 17 76
4 454 267 37 436
4 443 374 345 217
4 209 417 315 469
4 120 353 303 449
4 278 263 174 83
4 48 362 19 129
4 241 478 37 349
4 212 284 198 246
4 362 379 101 438
4 445 293 284 277
4 194 355 54 150
4 218 409 25 32
4 34 319 73 204
4 314 130 423 368
4 106 421 36 143
4 328 8 254 301
4 478 59 307 160
4 461 310 467 359
4 211 418 23 476
4 256 235 409 215
4 43 169 319 15
4 496 78 77 471
4 221 48 269 144
4 66 472 364 453
4 339 68 104 376
4 46 495 27 472
4 360 100 153 268
4 140 234 111 87
4 246 91 292 181
4 144 382 57 104
4 177 181 370 42
4 59 198 9 481
4 287 325 142 323
4 405 97 226 490
4 139 241 321 171
4 372 434 495 389
4 361 157 241 61
4 30 457 350 249
4 60 329 412 150
4 197 377 10 113
4 223 164 208 147
4 408 25 413 41
4 55 90 202 37
4 22 314 129 40
4 432 206 23 269
4 177 480 267 348
4 440 396 68 67
4 238 495 178 82
4 448 199 245 488
4 197 221 334 64
4 42 341 131 258
4 225 353 142 127
4 324 338 447 230
4 159 393 206 385
4 372 207 159 17
4 361 294 443 54
4 112 226 349 198
4 457 110 155 406
4 428 281 215 498
4 434 231 375 20
4 436 484 228 157
4 335 381 245 312
4 149 93 114 421
4 129 96 43 380
4 364 273 124 167
4 444 482 153 184
3 50 158 165
4 97 189 260 59
4 140 236 445 255
4 206 67 438 342
4 71 97 154 307
4 333 475 200 205
4 222 49 212 23
4 154 462 381 73
4 290 281 126 349
4 131 461 267 480
4 228 79 162 466
4 282 39 257 427
4 478 87 183 77
4 31 82 206 109
4 271 122 332 299
4 473 424 7 482
4 38 428 91 12
4 130 328 348 296
4 461 382 8 155
4 264 135 283 344
4 434 299 156 122
4 286 468 56 142
4 433 93 201 161
4 378 314 375 3
4 403 98 492 45
4 107 247 33 242
4 27 66 196 168
4 161 160 489 191
4 313 307 411 86
4 386 275 276 394
4 351 238 27 185
4 185 329 430 413
4 399 125 397 45
4 75 416 18 330
4 128 151 186 299
4 172 329 462 181
4 419 94 347 37
4 413 323 159 44
4 77 403 124 260
4 130 2 229 136
3 19 426 469
4 312 166 142 244
4 429 491 358 457
4 243 250 374 318
4 7 50 415 176
4 190 84 196 54
4 158 491 69 295
4 170 98 239 339
4 74 210 101 108
4 303 121 80 47
4 369 272 345 81
4 437 39 98 41
4 208 150 60 48
4 127 277 448 87
4 144 384 498 307
4 445 330 194 473
4 493 371 317 182
4 357 334 343 168
4 369 70 167 322
4 164 227 484 300
4 412 486 329 2
4 417 18 51 238
4 277 291 152 281
4 57 64 464 325
4 447 137 81 52
4 435 73 311 331
4 338 444 209 391
4 138 216 321 366
4 7 322 56 38
4 417 98 303 277
4 128 19 31 186
4 470 117 142 416
4 83 294 207 165
4 308 309 193 446
4 429 392 281 206
4 485 454 134 371
4 165 398 86 173
4 280 30 260 157
4 466 13 66 169
4 42 401 181 357
4 47 127 303 134
4 436 215 135 104
4 187 176 244 464
4 149 171 349 170
4 71 277 403 432
4 83 285 500 174
4 425 148 460 30
3 453 217 211
4 453 394 490 126
4 319 65 439 401
4 495 194 227 423
4 136 407 60 277
4 383 477 311 446
4 301 89 489 202
4 445 181 376 270
4 101 86 442 366
4 133 39 70 165
4 208 280 227 310
4 312 46 16 116
4 217 481 269 317
4 382 497 27 425
4 64 125 147 350
4 176 400 305 321
4 64 286 27 245
4 441 338 209 180
4 378 306 33 319
4 130 231 287 32
4 105 54 125 465
4 46 384 284 293
4 396 27 175 460
4 156 242 408 122
4 60 122 334 367
4 189 336 226 484
4 129 355 444 101
4 268 4 9 269
4 309 32 412 29
4 204 133 31 387
4 388 159 9 145
4 295 175 74 473
4 163 189 439 297
4 441 272 187 395
4 4 463 301 175
4 460 55 221 394
4 345 16 490 386
4 365 322 339 118
4 339 448 49 322
4 262 69 147 75
4 45 173 425 407
4 385 250 3 7
4 167 184 20 414
4 495 121 386 207
4 436 346 254 480
4 445 230 318 295
4 377 437 238 362
4 14 183 246 416
4 42 488 370 463
4 24 376 119 5
4 85 125 316 262
4 226 346 186 19
4 432 228 242 407
4 360 310 235 84
4 350 386 283 404
4 378 34 35 338
4 293 196 14 206
4 439 366 29 90
4 60 25 341 193
4 143 141 26 161
4 233 83 21 29
4 262 166 369 287
4 288 487 462 407
4 235 247 108 18
4 282 165 113 101
4 2 378 479 279
4 372 305 458 338
4 156 355 62 88
4 430 275 399 354
4 486 49 56 416
4 460 52 366 494
4 241 289 461 99
4 343 226 175 484
4 229 458 138 98
4 155 45 7 68
4 300 473 1 184
4 194 15 377 399
4 254 373 496 42
4 119 369 346 245
4 117 99 420 401
4 363 443 337 392
4 83 285 426 42
4 387 326 416 349
4 157 360 190 444
4 378 382 212 254
4 489 436 495 238
4 362 188 412 360
4 75 487 271 302
4 39 148 143 43
4 93 61 153 447
4 101 405 497 5
4 367 49 72 25
4 259 340 284 444
4 252 327 279 211
4 90 438 265 471
4 493 121 336 497
4 340 124 16 236
4 68 196 339 146
4 276 169 420 342
4 482 261 150 234
4 131 233 226 303
4 249 418 488 174
4 45 89 118 299
4 475 209 227 162
4 443 318 330 334
4 435 101 304 287
4 8 234 353 480
4 409 356 282 199
4 410 334 462 211
4 214 380 372 356
4 242 225 336 165
4 297 476 279 481
4 325 308 201 414
4 482 135 82 354
4 411 398 214 127
4 169 255 6 423
4 46 203 78 291
4 403 213 184 358
4 135 285 396 362
4 186 158 206 226
4 77 205 230 419
4 392 279 90 46
4 34 140 111 391
4 285 129 390 349
4 49 222 368 430
4 232 477 402 478
4 426 484 435 142
4 120 297 451 471
4 472 9 388 443
4 103 29 124 478
4 106 297 66 286
4 449 130 372 132
4 314 134 154 350
4 296 410 285 198
4 353 211 444 495
4 311 381 408 118
4 207 357 118 208
4 86 431 288 339
4 200 103 324 415
4 376 71 496 455
4 300 422 332 237
4 230 247 313 213
4 183 434 43 390
4 1 89 481 228
4 446 23 201 326
4 160 12 374 91
4 351 339 2 223
4 10 9 142 161
4 85 444 108 63
4 272 293 162 86
4 235 319 209 153
4 100 487 60 308
4 323 261 462 250
3 419 15 164
3 449 347 354
4 3 378 25 408
3 496 446 307
3 237 370 453
3 392 191 169
3 415 479 420
3 314 149 93
3 289 104 324
3 174 200 177
4 489 385 114 399
3 7 381 121
3 66 256 119
3 18 304 154
3 168 211 182
3 33 252 436
3 158 20 93
3 359 334 235
3 284 359 299
3 345 342 177
3 39 169 121
3 246 163 43
3 224 220 295
3 398 108 68
3 105 21 257
3 499 42 272
3 7 463 167
3 392 89 400
3 319 353 22
3 335 227 373
3 378 73 187
3 473 326 69
3 283 23 356
3 60 394 109
3 325 304 424
3 470 164 174
3 255 32 297
3 222 138 237
3 476 192 324
3 441 347 6
3 271 121 473
3 423 49 83
3 203 498 222
3 448 358 181
3 497 51 162
3 340 218 331
3 164 195 440
3 330 337 87
3 278 132 152
3 453 123 264
3 33 316 378
4 169 465 15 139
3 234 29 155
3 142 20 428
3 248 167 225
3 358 223 214
3 153 362 379
3 134 340 445
3 143 454 492
3 78 379 437
3 394 293 395
3 465 44 144
3 45 435 235
3 495 8 200
3 450 114 20
3 311 342 1
3 321 467 354
3 141 316 234
3 384 205 436
3 242 443 205
3 119 6 215
3 452 192 215
3 194 211 351
3 432 401 369
3 243 136 381
3 364 405 278
3 312 459 271
3 309 305 168
2 442 369
2 59 356
2 315 314
2 242 295
2 438 149
2 213 180
4 282 97 38 290
3 90 58 68
3 28 172 361
3 107 404 191
3 372 169 491
3 147 292 254
3 395 124 298
3 249 452 471
3 133 496 51
3 265 86 33
3 66 429 432
3 194 414 60
4 422 215 320 50
3 337 121 160
4 29 441 448 483
4 437 287 84 154
3 435 466 500
3 215 77 352
3 126 22 275
3 172 445 48
3 318 182 461
3 319 46 390
4 449 492 211 384
3 286 376 483
3 4 127 379
3 269 72 70
3 300 17 284
3 91 136 331
3 390 349 488
3 433 243 30
3 58 225 360
3 393 310 484
4 295 354 314 109
3 342 293 471
3 476 69 34
3 363 371 461
4 484 426 182 146
3 488 243 310
3 346 219 366
4 10 323 61 53
3 150 407 377
3 351 365 246
3 490 447 174
3 147 467 448
3 362 154 363
3 458 14 293
3 160 460 459
3 389 68 142
3 446 397 135
4 226 484 198 14
3 219 172 421
3 173 415 284
3 32 456 114
3 65 296 405
4 124 131 163 188
4 52 200 432 53
4 28 314 43 277
4 278 340 201 238
4 70 83 311 460
4 143 43 34 75
4 331 51 289 38
4 213 167 29 235
4 487 162 190 62
4 173 185 47 468
4 278 461 359 333
4 225 449 382 475
4 271 134 310 326
3 316 296 469
4 342 109 236 353
4 323 80 201 226
4 46 269 285 448
4 54 493 429 454
4 487 1 167 135
4 150 88 271 35
4 325 340 114 16
4 8 124 142 5
4 479 211 25 346
3 300 358 404
3 41 58 35
3 231 279 81
3 387 77 180
3 44 390 464
3 161 376 424
3 344 432 32
3 206 447 219
3 150 319 223
3 48 498 158
4 66 8 391 21
3 144 186 386
3 46 476 127
3 82 353 474
3 424 150 228
3 483 187 309
3 102 178 323
